utterance_id,recording_id,recording,start,end,speaker,gender,text
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-001,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,9.691,12.388,F1336354980,f,YOU KNOW JUST WHAT TO SAY
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-002,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,13.257,31.707,F1336354980,f,THINGS THAT SCARES ME I SHOULD JUST WALK AWAY BUT I CAN'T MOVE MY FEET THE MORE THAT I KNOW YOU THE MORE I WANT TO SOMETHING INSIDE ME'S CHANGED I WAS SO MUCH YOUNGER YESTERDAY OH
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-010,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,33.945,35.879,F1336354980,f,I DIDN'T KNOW THAT I WAS
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-011,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,36.084,38.369,F1336354980,f,STARVING TILL I TASTED YOU
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-012,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,38.831,43.153,F1336354980,f,DON'T NEED NO BUTTERFLIES WHEN YOU GIVE ME THE WHOLE DAMN ZOO
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-014,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,43.572,47.948,F1336354980,f,BY THE WAY BY THE WAY YOU DO THINGS TO MY BODY
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-016,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,48.316,67.156,F1336354980,f,I DIDN'T KNOW THAT I WAS STARVING TILL I TASTED YOU BY THE WAY BY THE WAY YOU DO THINGS TO MY BODY
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-021,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,67.518,72.86,F1336354980,f,I DIDN'T KNOW THAT I WAS STARVING TILL I TASTED YOU
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-024,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,72.965,74.666,F1336354980,f,YOU KNOW JUST HOW TO MAKE
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-025,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,75.38,81.247,F1336354980,f,MY HEART BEAT FASTER EMOTIONAL EARTHQUAKE BRING ON DISASTER
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-027,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,81.386,94.413,F1336354980,f,YOU HIT ME HEAD ON GOT ME WEAK IN MY KNEES YEAH SOMETHING INSIDE ME'S CHANGED I WAS SO MUCH YOUNGER YESTERDAY YE EAH
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-032,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,95.023,100.423,F1336354980,f,SO MUCH YOUNGER YESTERDAY OH YEAH
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-033,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,101.196,103.083,F1336354980,f,I DIDN'T KNOW THAT I WAS
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-034,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,103.282,105.455,F1336354980,f,STARVING TILL I TASTED YOU
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-035,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,105.962,110.335,F1336354980,f,DON'T NEED NO BUTTERFLIES WHEN YOU GIVE ME THE WHOLE DAMN ZOO
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-037,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,110.768,119.974,F1336354980,f,BY THE WAY BY THE WAY YOU DO THINGS TO MY BODY I DIDN'T KNOW THAT I WAS STARVING TILL I TASTED YOU
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-042,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,129.955,131.38,F1336354980,f,BY THE WAY BY THE WAY
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-043,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,131.73,144.213,F1336354980,f,YOU DO THINGS TO MY BODY I DIDN'T KNOW THAT I WAS STARVING TILL I TASTED YOU YOU YEAH TILL I TASTED YOU
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-050,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,149.174,150.56,F1336354980,f,BY THE WAY BY THE WAY
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-051,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,150.965,167.931,F1336354980,f,YOU DO THINGS TO MY BODY I DIDN'T KNOW THAT I WAS STARVING TILL I TASTED YOU OOH OOH OOH OOH NA NA NA NA NA NA NA NA
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-057,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,168.378,171.297,F1336354980,f,THE MORE THAT I KNOW
F1336354980-101935856_1430128-1336355787_1563254054-GB-F-059,101935856_1430128-1336355787_1563254054-GB-F-1336354980,GB/GBVocals/101935856_1430128-1336355787_1563254054-GB-F-1336354980.m4a,172.811,178.693,F1336354980,f,SOMETHING INSIDE ME'S CHANGED I WAS SO MUCH YOUNGER YESTERDAY
M1348262615-101935856_1430128-271233807_1582889160-GB-M-001,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,9.649,12.486,M1348262615,m,YOU KNOW JUST WHAT TO SAY
M1348262615-101935856_1430128-271233807_1582889160-GB-M-002,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,13.191,19.203,M1348262615,m,THINGS THAT SCARES ME I SHOULD JUST WALK AWAY BUT I CAN'T MOVE MY FEET
M1348262615-101935856_1430128-271233807_1582889160-GB-M-010,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,33.855,35.816,M1348262615,m,I DIDN'T KNOW THAT I WAS
M1348262615-101935856_1430128-271233807_1582889160-GB-M-011,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,36.023,38.404,M1348262615,m,STARVING TILL I TASTED YOU
M1348262615-101935856_1430128-271233807_1582889160-GB-M-012,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,38.723,43.198,M1348262615,m,DON'T NEED NO BUTTERFLIES WHEN YOU GIVE ME THE WHOLE DAMN ZOO
M1348262615-101935856_1430128-271233807_1582889160-GB-M-014,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,43.531,47.932,M1348262615,m,BY THE WAY BY THE WAY YOU DO THINGS TO MY BODY
M1348262615-101935856_1430128-271233807_1582889160-GB-M-016,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,48.313,50.284,M1348262615,m,I DIDN'T KNOW THAT I WAS
M1348262615-101935856_1430128-271233807_1582889160-GB-M-018,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,50.449,67.224,M1348262615,m,STARVING TILL I TASTED YOU BY THE WAY BY THE WAY YOU DO THINGS TO MY BODY
M1348262615-101935856_1430128-271233807_1582889160-GB-M-024,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,73.385,74.824,M1348262615,m,YOU KNOW JUST HOW TO MAKE
M1348262615-101935856_1430128-271233807_1582889160-GB-M-025,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,75.306,83.967,M1348262615,m,MY HEART BEAT FASTER EMOTIONAL EARTHQUAKE BRING ON DISASTER YOU HIT ME HEAD ON GOT ME WEAK IN MY KNEES
M1348262615-101935856_1430128-271233807_1582889160-GB-M-033,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,101.083,103.077,M1348262615,m,I DIDN'T KNOW THAT I WAS
M1348262615-101935856_1430128-271233807_1582889160-GB-M-034,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,103.241,105.613,M1348262615,m,STARVING TILL I TASTED YOU
M1348262615-101935856_1430128-271233807_1582889160-GB-M-035,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,105.922,110.386,M1348262615,m,DON'T NEED NO BUTTERFLIES WHEN YOU GIVE ME THE WHOLE DAMN ZOO
M1348262615-101935856_1430128-271233807_1582889160-GB-M-037,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,110.759,120.047,M1348262615,m,BY THE WAY BY THE WAY YOU DO THINGS TO MY BODY I DIDN'T KNOW THAT I WAS STARVING TILL I TASTED YOU
M1348262615-101935856_1430128-271233807_1582889160-GB-M-044,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,134.685,136.715,M1348262615,m,I DIDN'T KNOW THAT I WAS
M1348262615-101935856_1430128-271233807_1582889160-GB-M-046,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,136.829,144.381,M1348262615,m,STARVING TILL I TASTED YOU YOU YEAH TILL I TASTED YOU
M1348262615-101935856_1430128-271233807_1582889160-GB-M-050,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,149.151,167.986,M1348262615,m,BY THE WAY BY THE WAY YOU DO THINGS TO MY BODY I DIDN'T KNOW THAT I WAS STARVING TILL I TASTED YOU OOH OOH OOH OOH NA NA NA NA NA NA NA NA
M1348262615-101935856_1430128-271233807_1582889160-GB-M-057,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,168.303,171.277,M1348262615,m,THE MORE THAT I KNOW
M1348262615-101935856_1430128-271233807_1582889160-GB-M-059,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,172.808,174.897,M1348262615,m,SOMETHING INSIDE ME'S CHANGED
M1348262615-101935856_1430128-271233807_1582889160-GB-M-060,101935856_1430128-271233807_1582889160-GB-M-1348262615,GB/GBVocals/101935856_1430128-271233807_1582889160-GB-M-1348262615.m4a,176.433,178.667,M1348262615,m,I WAS SO MUCH YOUNGER YESTERDAY
M454114-101935856_790417-453814662_1558734584-GB-M-001,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,7.515,10.184,M454114,m,IF YOU WANT IT TAKE IT
M454114-101935856_790417-453814662_1558734584-GB-M-002,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,11.909,13.74,M454114,m,I SHOULD HAVE SAID IT BEFORE
M454114-101935856_790417-453814662_1558734584-GB-M-003,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,14.721,17.608,M454114,m,TRIED TO HIDE IT FAKE IT
M454114-101935856_790417-453814662_1558734584-GB-M-005,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,19.32,22.198,M454114,m,I CAN'T PRETEND ANYMORE
M454114-101935856_790417-453814662_1558734584-GB-M-006,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,22.932,29.3,M454114,m,I ONLY WANT TO DIE ALIVE NEVER BY THE HANDS OF A BROKEN HEART
M454114-101935856_790417-453814662_1558734584-GB-M-008,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,30.367,34.28,M454114,m,I DON'T WANNA HEAR YOU LIE TONIGHT
M454114-101935856_790417-453814662_1558734584-GB-M-010,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,34.307,36.686,M454114,m,NOW THAT I'VE BECOME WHO I REALLY AM
M454114-101935856_790417-453814662_1558734584-GB-M-011,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,38.005,67.429,M454114,m,THIS IS THE PART WHEN I SAY I DON'T WANT IT I'M STRONGER THAN I'VE BEEN BEFORE THIS IS THE PART WHEN I BREAK FREE 'CAUSE I CAN'T RESIST IT NO MORE THIS IS THE PART WHEN I SAY I DON'T WANT IT I'M STRONGER THAN I'VE BEEN BEFORE THIS IS THE PART WHEN I BREAK FREE 'CAUSE I CAN'T RESIST IT NO MORE
M454114-101935856_790417-453814662_1558734584-GB-M-023,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,73.679,76.783,M454114,m,YOU WERE BETTER DEEPER
M454114-101935856_790417-453814662_1558734584-GB-M-024,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,78.364,80.396,M454114,m,I WAS UNDER YOUR SPELL
M454114-101935856_790417-453814662_1558734584-GB-M-025,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,81.077,85.267,M454114,m,LIKE A DEADLY FEAR I AM BABE
M454114-101935856_790417-453814662_1558734584-GB-M-027,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,85.745,88.412,M454114,m,ON THE HIGHWAY TO HELL
M454114-101935856_790417-453814662_1558734584-GB-M-028,101935856_790417-453814662_1558734584-GB-M-454114,GB/GBVocals/101935856_790417-453814662_1558734584-GB-M-454114.m4a,89.232,96.035,M454114,m,I ONLY WANT TO DIE ALIVE NEVER BY THE HANDS OF A BROKEN HEART
